Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name
SDP11,,606944.863,4865291.708,1855.936,140,-115.66759595,43.93297777,1855.936,0.230,0.163,0.452,0.282,2.800,m,SINGLE,2023-02-09 12:45:35.6 UTC-07:00,2023-02-09 12:45:36.6 UTC-07:00,6,1.5,,,,,,,,WGS 84 / UTM zone 11N
SDP12,,606943.777,4865293.211,1856.619,149,-115.66760918,43.93299146,1856.619,0.191,0.172,0.426,0.257,2.800,m,SINGLE,2023-02-09 12:45:49.4 UTC-07:00,2023-02-09 12:45:50.4 UTC-07:00,6,1.4,,,,,,,,WGS 84 / UTM zone 11N
SDP13,,606943.289,4865292.834,1853.433,147,-115.66761534,43.93298813,1853.433,0.309,0.307,0.661,0.436,2.800,m,SINGLE,2023-02-09 12:46:08.0 UTC-07:00,2023-02-09 12:46:09.0 UTC-07:00,6,1.5,,,,,,,,WGS 84 / UTM zone 11N
SDP14,,606939.290,4865289.936,1853.901,159,-115.66766573,43.93296263,1853.901,0.254,0.197,0.496,0.322,2.800,m,SINGLE,2023-02-09 12:46:30.4 UTC-07:00,2023-02-09 12:46:31.4 UTC-07:00,6,1.6,,,,,,,,WGS 84 / UTM zone 11N
SDP15,,606938.435,4865292.319,1853.666,137 radar target mid,-115.66767590,43.93298420,1853.666,0.230,0.150,0.407,0.275,2.800,m,SINGLE,2023-02-09 12:47:01.8 UTC-07:00,2023-02-09 12:47:02.8 UTC-07:00,6,1.6,,,,,,,,WGS 84 / UTM zone 11N
SDP16,,606938.299,4865291.758,1853.300,156,-115.66767771,43.93297917,1853.300,0.241,0.192,0.445,0.308,2.800,m,SINGLE,2023-02-09 12:47:29.4 UTC-07:00,2023-02-09 12:47:30.4 UTC-07:00,6,1.4,,,,,,,,WGS 84 / UTM zone 11N
SDP17,,606936.419,4865292.850,1851.354,150,-115.66770091,43.93298927,1851.354,0.203,0.179,0.438,0.271,2.800,m,SINGLE,2023-02-09 12:47:49.4 UTC-07:00,2023-02-09 12:47:50.4 UTC-07:00,6,1.7,,,,,,,,WGS 84 / UTM zone 11N
SDP18,,606935.002,4865292.587,1851.438,156,-115.66771860,43.93298711,1851.438,0.220,0.190,0.482,0.291,2.800,m,SINGLE,2023-02-09 12:48:06.6 UTC-07:00,2023-02-09 12:48:07.6 UTC-07:00,6,1.7,,,,,,,,WGS 84 / UTM zone 11N
SDP19,,606933.222,4865294.899,1852.158,122,-115.66774031,43.93300818,1852.158,0.286,0.178,0.394,0.337,2.800,m,SINGLE,2023-02-09 12:48:23.8 UTC-07:00,2023-02-09 12:48:24.8 UTC-07:00,6,1.6,,,,,,,,WGS 84 / UTM zone 11N
SDP20,,606934.099,4865294.281,1853.966,155,-115.66772951,43.93300249,1853.966,0.266,0.198,0.509,0.332,2.800,m,SINGLE,2023-02-09 12:48:37.0 UTC-07:00,2023-02-09 12:48:38.0 UTC-07:00,6,1.6,,,,,,,,WGS 84 / UTM zone 11N
SDP21,,606932.930,4865295.235,1854.923,135,-115.66774388,43.93301124,1854.923,0.439,0.270,0.618,0.515,2.800,m,SINGLE,2023-02-09 12:48:56.2 UTC-07:00,2023-02-09 12:48:57.2 UTC-07:00,6,2.9,,,,,,,,WGS 84 / UTM zone 11N
SDP22,,606932.657,4865296.397,1854.178,154,-115.66774705,43.93302174,1854.178,0.400,0.240,0.725,0.467,2.800,m,SINGLE,2023-02-09 12:49:28.0 UTC-07:00,2023-02-09 12:49:29.0 UTC-07:00,6,1.9,,,,,,,,WGS 84 / UTM zone 11N
SDP23,,606931.561,4865298.675,1853.074,153,-115.66776024,43.93304241,1853.074,0.395,0.254,0.708,0.470,2.800,m,SINGLE,2023-02-09 12:49:42.6 UTC-07:00,2023-02-09 12:49:43.6 UTC-07:00,6,2.0,,,,,,,,WGS 84 / UTM zone 11N
SDP24,,606931.317,4865298.728,1852.890,153,-115.66776327,43.93304292,1852.890,0.379,0.250,0.711,0.454,2.800,m,SINGLE,2023-02-09 12:49:53.2 UTC-07:00,2023-02-09 12:49:54.2 UTC-07:00,6,1.9,,,,,,,,WGS 84 / UTM zone 11N
SDP25,,606930.788,4865300.852,1854.580,157,-115.66776944,43.93306212,1854.580,0.435,0.328,0.657,0.545,2.800,m,SINGLE,2023-02-09 12:50:09.6 UTC-07:00,2023-02-09 12:50:10.6 UTC-07:00,6,2.0,,,,,,,,WGS 84 / UTM zone 11N
SDP26,,606930.711,4865301.626,1854.708,155,-115.66777023,43.93306909,1854.708,0.450,0.300,0.749,0.541,2.800,m,SINGLE,2023-02-09 12:50:27.6 UTC-07:00,2023-02-09 12:50:28.6 UTC-07:00,6,2.5,,,,,,,,WGS 84 / UTM zone 11N
SDP27,,606929.938,4865303.092,1854.192,163,-115.66777957,43.93308240,1854.192,0.257,0.201,0.521,0.326,2.800,m,SINGLE,2023-02-09 12:50:47.0 UTC-07:00,2023-02-09 12:50:48.0 UTC-07:00,6,1.7,,,,,,,,WGS 84 / UTM zone 11N
SDP28,,606929.709,4865302.541,1855.308,163 radar target 3,-115.66778253,43.93307747,1855.308,0.315,0.214,0.655,0.381,2.800,m,SINGLE,2023-02-09 12:51:02.0 UTC-07:00,2023-02-09 12:51:03.0 UTC-07:00,6,1.7,,,,,,,,WGS 84 / UTM zone 11N
SDP29,,606928.364,4865303.324,1853.878,165,-115.66779912,43.93308472,1853.878,0.258,0.231,0.566,0.346,2.800,m,SINGLE,2023-02-09 12:51:21.6 UTC-07:00,2023-02-09 12:51:22.6 UTC-07:00,6,1.6,,,,,,,,WGS 84 / UTM zone 11N
SDP30,,606927.915,4865304.686,1854.220,158,-115.66780445,43.93309705,1854.220,0.280,0.201,0.590,0.345,2.800,m,SINGLE,2023-02-09 12:51:39.4 UTC-07:00,2023-02-09 12:51:40.4 UTC-07:00,6,1.5,,,,,,,,WGS 84 / UTM zone 11N
SDP31,,606926.785,4865307.506,1855.132,158,-115.66781796,43.93312259,1855.132,0.312,0.279,0.653,0.419,2.800,m,SINGLE,2023-02-09 12:51:55.0 UTC-07:00,2023-02-09 12:51:56.0 UTC-07:00,6,1.5,,,,,,,,WGS 84 / UTM zone 11N
