Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name
SDP52,,606983.425,4865346.425,1872.241,71,-115.66710465,43.93346468,1872.241,1.102,0.715,2.055,1.314,2.800,m,SINGLE,2023-02-09 13:02:10.4 UTC-07:00,2023-02-09 13:02:11.4 UTC-07:00,6,6.4,,,,,,,,WGS 84 / UTM zone 11N
SDP53,,606986.080,4865354.016,1874.970,74,-115.66707005,43.93353262,1874.970,1.100,1.100,1.654,1.556,2.800,m,SINGLE,2023-02-09 13:02:28.8 UTC-07:00,2023-02-09 13:02:29.8 UTC-07:00,6,2.5,,,,,,,,WGS 84 / UTM zone 11N
SDP54,,606990.593,4865349.957,1871.821,76,-115.66701465,43.93349543,1871.821,0.928,0.945,1.700,1.324,2.800,m,SINGLE,2023-02-09 13:02:59.8 UTC-07:00,2023-02-09 13:03:00.8 UTC-07:00,6,3.1,,,,,,,,WGS 84 / UTM zone 11N
SDP55,,606992.335,4865354.871,1871.258,69,-115.66699197,43.93353941,1871.258,0.709,0.644,1.169,0.958,2.800,m,SINGLE,2023-02-09 13:03:19.8 UTC-07:00,2023-02-09 13:03:20.8 UTC-07:00,6,1.9,,,,,,,,WGS 84 / UTM zone 11N
SDP56,,606994.329,4865363.086,1869.240,79,-115.66696548,43.93361307,1869.240,1.389,1.610,2.243,2.127,2.800,m,SINGLE,2023-02-09 13:03:39.2 UTC-07:00,2023-02-09 13:03:40.2 UTC-07:00,6,2.1,,,,,,,,WGS 84 / UTM zone 11N
SDP57,,606996.557,4865361.496,1873.716,83,-115.66693804,43.93359843,1873.716,1.035,0.942,1.901,1.399,2.800,m,SINGLE,2023-02-09 13:03:55.4 UTC-07:00,2023-02-09 13:03:56.4 UTC-07:00,6,2.7,,,,,,,,WGS 84 / UTM zone 11N
SDP58,,607000.374,4865365.234,1876.092,97,-115.66688976,43.93363152,1876.092,0.704,0.743,1.201,1.023,2.800,m,SINGLE,2023-02-09 13:04:14.2 UTC-07:00,2023-02-09 13:04:15.2 UTC-07:00,6,2.5,,,,,,,,WGS 84 / UTM zone 11N
SDP59,,606999.344,4865370.001,1877.231,90,-115.66690162,43.93367458,1877.231,0.751,0.496,1.201,0.900,2.800,m,SINGLE,2023-02-09 13:04:30.6 UTC-07:00,2023-02-09 13:04:31.6 UTC-07:00,6,2.2,,,,,,,,WGS 84 / UTM zone 11N
SDP60,,606996.569,4865370.773,1878.209,107,-115.66693603,43.93368193,1878.209,0.624,0.610,1.302,0.872,2.800,m,SINGLE,2023-02-09 13:04:51.2 UTC-07:00,2023-02-09 13:04:52.2 UTC-07:00,6,1.9,,,,,,,,WGS 84 / UTM zone 11N
SDP61,,606994.675,4865370.253,1881.942,78,-115.66695973,43.93367752,1881.942,0.687,0.508,1.340,0.855,2.800,m,SINGLE,2023-02-09 13:05:17.6 UTC-07:00,2023-02-09 13:05:18.6 UTC-07:00,6,2.7,,,,,,,,WGS 84 / UTM zone 11N
